ID Corso,Titolo Corso,Docente,Tipologia,Disciplina,Periodo,Giorno della settimana,Orario,Anno Scolastico destinatario,Indirizzo,Posti disponibili,Prerequisiti,Competenze in uscita,Descrizione
030,OLTRE LA VISIONE: ARTE CONTEMPORANEA E TEORIA DELLA PERCEZIONE,barbara brugola,UDA - Moduli Curricolari Pomeridiani,"GRAFICA
EDUCAZIONE CIVICA",PENTAMESTRE,"MERCOLEDÌ
GIOVEDÌ",,Quinte,Tutti,20,"Disponibilità a esplorare forme non convenzionali di arte e a riflettere sul rapporto tra opera e spettatore.
Attitudine a partecipare attivamente in laboratori creativi e progettuali.
Abilità nel riconoscere e descrivere gli elementi formali usati nelle opere.","disciplina: Educazione Civica, competenza: lavorare in gruppo
disciplina: GRAFICA, competenza: Interpretare e progettare opere artistiche, comprendendone i linguaggi visivi contemporanei.
disciplina: GRAFICA, competenza: Capacità di leggere  le opere proposte e collegarle ai temi percettivi
","Un viaggio nell’arte contemporanea per capire come la percezione visiva cambia il rapporto con l’opera. Dall’illusione ottica all’immersione spaziale, incontreremo artisti che mettono in crisi il confine tra spettatore e opera. Quattro incontri tra teoria e laboratorio dove arte, scienza, tecnologia e dimensione umanistica si intrecciano. Un percorso interdisciplinare che sviluppa un'attitudine critica e creativa, utile per la ricerca personale e i futuri studi e ambiti professionali."
031,Letteratura e musica moderne e contemporanee di lingua anglosassone,Daniela Bedeschi,UDA - Moduli Curricolari Pomeridiani,INGLESE,PENTAMESTRE,"MARTEDÌ
GIOVEDÌ",,"Quarte
Quinte",Tutti,15,Conoscenza della lingua inglese di livello intermedio,"disciplina: INGLESE, competenza: Linguistico-letterarie-comunicative
","Si propone l'analisi di alcuni testi letterari e di brani letterario-musicali moderni e contemporanei in lingua anglosassone. L'obiettivo è quello di sensibilizzare alla sinergia tra linguaggio letterario e linguaggio musicale, con riferimento all'area moderna e contemporanea di lingua anglosassone."
032,Speaking club,Elvira Di Bella,UDA - Moduli Curricolari Pomeridiani,INGLESE,PENTAMESTRE,MERCOLEDÌ,,Biennio,Nessuno,15,Avere la sufficienza in inglese. Agli studenti con debito formativo o 6* saranno destinati i corsi di recupero.,"disciplina: INGLESE, competenza: tutte le competenze chiave in lingua inglese in percentuali differenti (speaking, listening, reading, writing) con particolare focus sulla competenza orale.
","In questo breve ma intenso corso affronteremo una delle sfide più temute dagli studenti: parlare in lingua inglese. Il corso è progettato per potenziare le competenze orali di chi già possiede una solida base linguistica attraverso attività concrete: group discussion, storytelling, role playing e debate. Dietro un corso di speaking, c'è sempre un metodo: miglioreremo la pronuncia, arricchiremo il lessico e metteremo in pratica strutture grammaticali complesse. Step in and... speak up!"
033,Speaking Club - Triennio,Isabella Baldi,UDA - Moduli Curricolari Pomeridiani,INGLESE,TRIMESTRE,MARTEDÌ,,Triennio,Tutti,20,Livello B1,"disciplina: INGLESE, competenza: Competenza comunicativa -Speaking
","Questo corso è pensato per gli studenti del triennio che desiderano migliorare le proprie capacità di comunicazione in inglese, raggiungendo un livello intermedio superiore. I partecipanti avranno l'opportunità di praticare conversazioni su argomenti quotidiani, attuali e di interesse generale, sviluppando sicurezza e fluidità nell'espressione orale. Verranno utilizzate attività interattive, discussioni di gruppo, role-play e ascolto di materiali autentici."
034,Film in lingua inglese,cristina scoccia,UDA - Moduli Curricolari Pomeridiani,INGLESE,TRIMESTRE + PENTAMESTRE,MERCOLEDÌ,,"Prime
Seconde
Terze
Quarte",Design,20,,,Visione di film in lingua che affrontano argomenti o si ispirano alle opere di autori studiati a scuola. Obiettivo è mostrare come la letteratura sia una risorsa inesauribile di interesse per registi e autori cinematografici che hanno firmato grandi successi.
035,English Drama lab,Dania Stefanoni,UDA - Moduli Curricolari Pomeridiani,"INGLESE
EDUCAZIONE CIVICA",TRIMESTRE,"LUNEDÌ
MARTEDÌ
GIOVEDÌ",,Biennio,Nessuno,20,,"disciplina: INGLESE, competenza: esprimersi oralmente in lingua inglese
disciplina: Educazione Civica, competenza: capacità di partecipare in modo costruttivo alla vita sociale e civica., comprendendo strutture, valori e concetti delle società democratiche e promuovendo la coesione sociale
",laboratori teatrali in inglese su argomenti da definire in base agli studenti partecipanti
036,English Drama lab,Dania Stefanoni,UDA - Moduli Curricolari Pomeridiani,"INGLESE
EDUCAZIONE CIVICA",PENTAMESTRE,"LUNEDÌ
MARTEDÌ
GIOVEDÌ",,Triennio,Tutti,20,,"disciplina: INGLESE, competenza: esprimersi oralmente in lingua inglese
disciplina: Educazione Civica, competenza: capacità di partecipare in modo costruttivo alla vita sociale e civica., comprendendo strutture, valori e concetti delle società democratiche e promuovendo la coesione sociale
",laboratori teatrali in inglese su argomenti da definire in base agli studenti partecipanti
037,Passions & Prejudice: Unpacking Romeo and Juliet in the 21st Century,Maria Concetta (Marisa) Armeli,UDA - Moduli Curricolari Pomeridiani,"INGLESE
EDUCAZIONE CIVICA",TRIMESTRE,MERCOLEDÌ,,"Seconde
Terze",Tutti,20,Livello di inglese almeno B1,"disciplina: INGLESE, competenza: •	Lingua Inglese: Comprensione di estratti letterari semplificati e media, ascolto attivo, discussione, espressione di opinioni, scrittura di brevi testi analitici/creativi. •	Analisi Letteraria: Identificazione di temi, motivazioni dei personaggi e concetti drammatici (es. conflitto, destino); comprensione del potere duraturo delle narrazioni classiche.
disciplina: Educazione Civica, competenza: •	Pensiero Critico: Analisi di questioni sociali contemporanee; tracciare paralleli tra testi storici e vita moderna; formare prospettive informate. •	Creatività e Collaborazione: Brainstorming, pianificazione ed esecuzione di un prodotto artistico finale; lavorare efficacemente in team.
",
038,Echoes & Futures: Unpacking Contemporary Issues Through the Lens of 1984,Maria Concetta (Marisa) Armeli,UDA - Moduli Curricolari Pomeridiani,"INGLESE
EDUCAZIONE CIVICA",PENTAMESTRE,MERCOLEDÌ,,"Quarte
Quinte",Tutti,20,Livello di inglese almeno B1+,"disciplina: INGLESE, competenza: •	Lingua Inglese: Comprensione della lettura di testi letterari e articoli di notizie, ascolto attivo, discussione di gruppo, presentazione di idee, scrittura di brevi testi/script analitici. •	Analisi Letteraria: Identificare temi, simboli e artifici letterari; comprendere lo scopo e il contesto dell'autore; stabilire connessioni intertestuali.
disciplina: Educazione Civica, competenza: •	Pensiero Critico: Analizzare le questioni contemporanee; tracciare parallelismi tra finzione e realtà; formare ed esprimere opinioni informate. •	Creatività e Collaborazione: Brainstorming, pianificazione e creazione di un prodotto finale; lavorare efficacemente in team.
","Percorso attraverso 1984 di Orwell come esempio di in che modo la letteratura, in questo caso, quella britannica, fornisca una struttura critica per comprendere e discutere le questioni globali contemporanee, migliorando al contempo la competenza linguistica in inglese e le capacità di analisi letteraria degli studenti."
039,Di...versi in versi,Elda Caserta,UDA - Moduli Curricolari Pomeridiani,ITALIANO,TRIMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ",,Prime,Nessuno,15,"mettersi in gioco in modo creativo e aperto agli altri
amare la scrittura (o accettare la sfida) e la condivisione con gli altri dei propri testi","disciplina: ITALIANO, competenza: comprensione e produzione scritte
disciplina: ITALIANO, competenza: comprensione e produzione orale
",Un assaggio di poesia per conoscersi. Sperimenteremo alcune tecniche creative che ci porteranno a realizzare un personale manifesto poetico e un diario di bordo a futura memoria.
040,“ Romeo e Giulietta “: dal testo teatrale alla trasposizione cinematografica dell’opera,Maria Elena Merlo,UDA - Moduli Curricolari Pomeridiani,ITALIANO,TRIMESTRE,"MARTEDÌ
GIOVEDÌ",,"Seconde
Terze",Tutti,20,Capacità di comprendere il testo teatrale nel suo senso complessivo e nei suoi snodi tematici,"disciplina: ITALIANO, competenza: sviluppare la capacità di analisi critica e comparativa tra il testo originale e le versioni cinematografiche 
disciplina: ITALIANO, competenza: migliorare le competenze di lettura espressiva 
disciplina: ITALIANO, competenza: stimolare la riflessione su tematiche universali trattate nell’opera 
","L’attività didattica ha l’obiettivo di guidare gli studenti in un confronto tra il testo ""Romeo e Giulietta"" di Shakespeare e le sue versioni cinematografiche.
Il lavoro inizierà con la lettura di brani selezionati dell’opera teatrale, per poi proseguire con l’analisi delle scelte registiche e interpretative che caratterizzano le diverse trasposizioni cinematografiche. In particolare, saranno esaminati i film ""Romeo + Giulietta"" e ""Romeo è Giulietta""."
041,“ Romeo e Giulietta “: dal testo teatrale alla trasposizione cinematografica dell’opera,Maria Elena Merlo,UDA - Moduli Curricolari Pomeridiani,ITALIANO,PENTAMESTRE,"MARTEDÌ
GIOVEDÌ",,"Seconde
Terze",Tutti,20,Capacità di comprendere il testo teatrale nel suo senso complessivo e nei suoi snodi tematici,"disciplina: ITALIANO, competenza: sviluppare la capacità di analisi critica e comparativa tra il testo originale e le versioni cinematografiche 
disciplina: ITALIANO, competenza: migliorare le competenze di lettura espressiva 
disciplina: ITALIANO, competenza: stimolare la riflessione su tematiche universali trattate nell’opera 
","L’attività didattica ha l’obiettivo di guidare gli studenti in un confronto tra il testo ""Romeo e Giulietta"" di Shakespeare e le sue versioni cinematografiche.
Il lavoro inizierà con la lettura di brani selezionati dell’opera teatrale, per poi proseguire con l’analisi delle scelte registiche e interpretative che caratterizzano le diverse trasposizioni cinematografiche. In particolare, saranno esaminati i film ""Romeo + Giulietta"" e ""Romeo è Giulietta""."
042,Il Novecento va in scena: testi e visioni del teatro del XX secolo,Laura Grimoldi,UDA - Moduli Curricolari Pomeridiani,ITALIANO,TRIMESTRE,"LUNEDÌ
MERCOLEDÌ",,Tutti,Tutti,20,,"disciplina: ITALIANO, competenza:  Sperimentare la performance teatrale e collegare i temi novecenteschi all’attualità.
","Il corso ha come obiettivo:
conoscere le principali trasformazioni del teatro nel Novecento, analizzando e interpretando testi teatrali significativi;
sviluppare competenze espressive, di lettura ad alta voce e di drammatizzazione;
stimolare la riflessione su temi esistenziali e sociali presenti nei testi."
043,Batti e ribatti. Debate su temi d'attualità,Manuela Sammarco,UDA - Moduli Curricolari Pomeridiani,ITALIANO,TRIMESTRE,LUNEDÌ,,Triennio,Tutti,20,"competenze linguistiche di base, capacità di navigare in rete in autonomia, curiosità","disciplina: ITALIANO, competenza: capacità di argomentare, Public speaking
","Due pomeriggi di debate su temi di attualità scelti insieme. Due pomeriggi di preparazione al dibattito attraverso un uso della rete critico e consapevole. ""Conoscere per deliberare"", ma anche ""per saper argomentare""."
044,So stare con me. Esperienze di scrittura su sé stessi e gli altri,Manuela Sammarco,UDA - Moduli Curricolari Pomeridiani,ITALIANO,PENTAMESTRE,LUNEDÌ,,Tutti,Tutti,20,"competenze linguistiche di base, curiosità","disciplina: ITALIANO, competenza: potenziamento delle competenze linguistiche
","Laboratori di scrittura autobiografica: scriviamo in silenzio, ci raccontiamo un po’, facciamo foto e disegni.
Sperimenteremo che cosa accade quando si spegne il cellulare, quando ci mettiamo in ascolto di noi stessi; per capire più in profondità chi siamo, come ci vediamo, come pensiamo ci vedano gli altri; per capire meglio chi sono gli altri per noi e come noi ci relazioniamo con loro."
045,SCRITTURE AL FEMMINILE,Roberta Ciceri,UDA - Moduli Curricolari Pomeridiani,ITALIANO,TRIMESTRE,GIOVEDÌ,,Quinte,Tutti,12,"- saper analizzare un testo letterario in prosa o poetico.
- possedere interesse per la letteratura","disciplina: ITALIANO, competenza: - analizzare, commentare e confrontare testi letterari.
disciplina: ITALIANO, competenza: -cogliere il rapporto tra autore e contesto storico-culturale
disciplina: ITALIANO, competenza: - condurre una lettura dell'opera letteraria individuale, consapevole ed autonoma
disciplina: ITALIANO, competenza: - consolidare l'interesse verso la letteratura
","Il percorso si propone di presentare alcune tra le più importanti figure femminili della letteratura italiana del Novecento. Attraverso la lettura, l'analisi e il commento di estratti  dell'opera di S. Aleramo, E. Morante, A. Pozzi e A. Rosselli si vogliono affrontarne i fondamentali nuclei tematici  e le caratteristiche stilistiche come espressione della peculiare situazione storico-sociale ed esistenziale delle autrici."
046,SCRITTURE AL FEMMINILE,Roberta Ciceri,UDA - Moduli Curricolari Pomeridiani,ITALIANO,PENTAMESTRE,GIOVEDÌ,,Quinte,Tutti,12,"- saper analizzare un testo letterario in prosa o poetico.
- possedere interesse per la letteratura","disciplina: ITALIANO, competenza: - analizzare, commentare e confrontare testi letterari.
disciplina: ITALIANO, competenza: -cogliere il rapporto tra autore e contesto storico-culturale
disciplina: ITALIANO, competenza: - condurre una lettura dell'opera letteraria individuale, consapevole ed autonoma
disciplina: ITALIANO, competenza: - consolidare l'interesse verso la letteratura
","Il percorso si propone di presentare alcune tra le più importanti figure femminili della letteratura italiana del Novecento. Attraverso la lettura, l'analisi e il commento di estratti  dell'opera di S. Aleramo, E. Morante, A. Pozzi e A. Rosselli si vogliono affrontarne i fondamentali nuclei tematici  e le caratteristiche stilistiche come espressione della peculiare situazione storico-sociale ed esistenziale delle autrici."
047,Alla scoperta della tragedia classica: Antigone,Paola Monego,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA",PENTAMESTRE,MARTEDÌ,,Seconde,Nessuno,20,,"disciplina: ITALIANO, competenza: Cogliere i caratteri specifici del testo teatrale
disciplina: Educazione Civica, competenza: Cogliere e riflettere sull'attualità e l'universalità del tema affrontato nella tragedia ""Antigone"":  il rapporto tra legge naturale e legge dello Stato.
","Il modulo, dopo una breve introduzione teorica relativa alla tragedia greca, comprenderà una lettura drammatizzata del testo e una riflessione condivisa sui temi proposti da Sofocle in ""Antigone""."
048,"Il mondo in una pagina (di giornale): lettura critica del quotidiano per comprendere la geopolitica, le istituzioni e la società",Paola Rosa Anna Curatolo,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA",TRIMESTRE,MERCOLEDÌ,,Tutti,Tutti,20,"
","disciplina: ITALIANO, competenza: Comprendere, analizzare e riassumere testi argomentativi. Individuare tesi antitesi e argomentazioni in un testo argomentativo
disciplina: Educazione Civica, competenza: Comprendere il funzionamento delle istituzioni e della società. Sviluppare consapevolezza su cosa significhi essere cittadini consapevoli
","Nel laboratorio si sceglieranno dei temi da approfondire e si leggeranno le notizie, i commenti e gli approfondimenti sui quotidiani, confrontando le differenti posizioni e le modalità comunicative. Tali temi saranno approfonditi e analizzati anche attraverso altri strumenti e saranno degli spunti per analizzare il funzionamento delle istituzioni (italiane, dell'UE o di altri paesi) e le dinamiche geopolitiche, nonché sviluppare la consapevolezza del significato di essere cittadini consapevoli."
049,"Il mondo in una pagina (di giornale): lettura critica del quotidiano per comprendere la geopolitica, le istituzioni e la società",Paola Rosa Anna Curatolo,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA",PENTAMESTRE,MERCOLEDÌ,,Tutti,Tutti,20,"
","disciplina: ITALIANO, competenza: Comprendere, analizzare e riassumere testi argomentativi. Individuare tesi antitesi e argomentazioni in un testo argomentativo
disciplina: Educazione Civica, competenza: Comprendere il funzionamento delle istituzioni e della società. Sviluppare consapevolezza su cosa significhi essere cittadini consapevoli
","Nel laboratorio si sceglieranno dei temi da approfondire e si leggeranno le notizie, i commenti e gli approfondimenti sui quotidiani, confrontando le differenti posizioni e le modalità comunicative. Tali temi saranno approfonditi e analizzati anche attraverso altri strumenti e saranno degli spunti per analizzare il funzionamento delle istituzioni (italiane, dell'UE o di altri paesi) e le dinamiche geopolitiche, nonché sviluppare la consapevolezza del significato di essere cittadini consapevoli."
050,IL CAVIARDAGE E IL RICICLO,Claudia Peri,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA
PITTORICHE",TRIMESTRE,MARTEDÌ,,Tutti,Design,15,saper leggere e scrivere,"disciplina: ITALIANO, competenza: saper usare e combinare le parole, saper esprimere la propria interiorità, saper comprendere ed usare il metodo del CAVIARDAGE
disciplina: Educazione Civica, competenza: comprendere l'importanza del riciclo
disciplina: PITTORICHE, competenza: saper preparare la base su cui applicare la poesia creata
","La tecnica del CAVIARDAGE è una forma di scrittura creativa poetica che sarà utilizzata a partire dalla tematica del riciclo. Si comporranno tre Caviardage usando tre tecniche diverse e verranno usati supporti creativi prodotti durante il laboratorio usando materiale vario (tempere, acquarelli, tessuti, filo, matite...)."
051,Voci fuori dal coro: L’Officina dei Cantautori,Annamaria Atzori,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA
STORIA",TRIMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ",,Triennio,"Grafica
Multimediale",20,"Interesse per la musica d'autore e per il suo processo creativo
Conoscenza base di software di registrazione e/o montaggio video
Gradita la partecipazione di chi sa suonare uno strumento musicale","disciplina: ITALIANO, competenza: Analisi di un testo musicale dal punto di vista delle figure retoriche, delle rime e del messaggio che l’artista intende comunicare.
disciplina: Educazione Civica, competenza: Analisi delle seguenti tematiche: l'impegno politico e civile, la dimensione intimistica, il bisogno di emancipazione e riscatto, il divertimento non solo come consumo
disciplina: STORIA, competenza: Analisi di tematiche riguardanti la guerra e le sue conseguenze
","Poesia e musica, da sempre legate fin dalla lirica greca, trovano espressione nei cantautori italiani dagli anni ‘70 del ‘900. 
L’unità didattica esplorerà sensibilità e valore letterario di alcuni brani che ascolteremo, analizzeremo e canteremo. 
Il modulo si concluderà con la registrazione di una traccia audio ed eventualmente con la realizzazione di un videoclip musicale in cui i ragazzi saranno protagonisti, cantando sulle note del brano da loro inciso."
052,Voci fuori dal coro: L’Officina dei Cantautori,Annamaria Atzori,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
EDUCAZIONE CIVICA
STORIA",PENTAMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ",,Triennio,"Grafica
Multimediale",20,"Interesse per la musica d'autore e per il suo processo creativo
Conoscenza base di software di registrazione e/o montaggio video
Gradita la partecipazione di chi sa suonare uno strumento musicale","disciplina: ITALIANO, competenza: Analisi di un testo musicale dal punto di vista delle figure retoriche, delle rime e del messaggio che l’artista intende comunicare.
disciplina: Educazione Civica, competenza: Analisi delle seguenti tematiche: l'impegno politico e civile, la dimensione intimistica, il bisogno di emancipazione e riscatto, il divertimento non solo come consumo
disciplina: STORIA, competenza: Analisi di tematiche riguardanti la guerra e le sue conseguenze
","Poesia e musica, da sempre legate fin dalla lirica greca, trovano espressione nei cantautori italiani dagli anni ‘70 del ‘900. 
L’unità didattica esplorerà sensibilità e valore letterario di alcuni brani che ascolteremo, analizzeremo e canteremo. 
Il modulo si concluderà con la registrazione di una traccia audio ed eventualmente con la realizzazione di un videoclip musicale in cui i ragazzi saranno protagonisti, cantando sulle note del brano da loro inciso."
053,BOCCIONI MEDIA,Sabrina Risi,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
MULTIMEDIALE
EDUCAZIONE CIVICA",PENTAMESTRE,MARTEDÌ,,Tutti,Tutti,20,,"disciplina: ITALIANO, competenza: 
disciplina: MULTIMEDIALE, competenza: 
disciplina: Educazione Civica, competenza: 
","Creazione di una  redazione multimediale che offre agli studenti l'opportunità di diventare protagonisti nella realizzazione di progetti creativi nei settori della radio, podcast, tv e web magazine scolastico. Attraverso un approccio pratico, impareranno a ideare, produrre contenuti editoriali e multimediali da pubblicare sui canali social della scuola."
054,Filosofia delle immagini,Eleonora Zucchi,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
STORIA DELL'ARTE
FILOSOFIA",PENTAMESTRE,MERCOLEDÌ,,Triennio,"Architettura
Design
Figurativo
Grafica
Multimediale",15,,"disciplina: ITALIANO, competenza: saper descrivere, attraverso la lingua italiana, il particolare incontro che il fruitore sperimenta con l'immagine
disciplina: STORIA DELL'ARTE, competenza: sperimentare l'attitudine ermeneutica nei confronti di contenuti simbolici attraverso il metodo della pratica immaginale
disciplina: FILOSOFIA, competenza: approfondire la domanda filosofica sullo status ontologico delle immagini
","Che cosa sono le immagini? Da dove provengono? Sono in tutto e per tutto un nostro prodotto? Da dove attinge l'artista quando crea? Nel corso dell'Atelier di pratica immaginale, sosteremo a lungo presso immagini ""a forte potenziale simbolico"" - dipinti, film, canzoni, fiabe - per tentare di sciogliere l'enigma di questi strani oggetti, ponti fra spirito e materia."
055,Filosofia delle immagini,Zucchi Eleonora,UDA - Moduli Curricolari Pomeridiani,"ITALIANO
STORIA DELL'ARTE
FILOSOFIA",TRIMESTRE,MERCOLEDÌ,,Triennio,"Architettura
Design
Figurativo
Grafica
Multimediale",15,,"disciplina: ITALIANO, competenza: saper descrivere, attraverso la lingua italiana, il particolare incontro che il fruitore sperimenta con l'immagine
disciplina: STORIA DELL'ARTE, competenza: sperimentare l'attitudine ermeneutica nei confronti di contenuti simbolici attraverso il metodo della pratica immaginale 
disciplina: FILOSOFIA, competenza: approfondire la domanda filosofica sullo status ontologico delle immagini
","Che cosa sono le immagini? Da dove provengono? Sono in tutto e per tutto un nostro prodotto? Da dove attinge l'artista quando crea? Nel corso dell'Atelier di pratica immaginale, sosteremo a lungo presso immagini ""a forte potenziale simbolico"" - dipinti, film, canzoni, fiabe - per tentare di sciogliere l'enigma di questi strani oggetti, ponti fra spirito e materia."
056,Sportello di lettura e interpretazione grafica,Silvia Kuna Ballero,UDA - Moduli Curricolari Pomeridiani,MATEMATICA,TRIMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ",,"Seconde
Terze
Quarte
Quinte",Tutti,18,,"disciplina: MATEMATICA, competenza: Utilizzare le tecniche e le procedure del calcolo aritmetico ed algebrico, rappresentandole anche sotto forma grafica
disciplina: MATEMATICA, competenza: Confrontare ed analizzare figure geometriche, individuando invarianti e relazioni.
disciplina: MATEMATICA, competenza: Individuare le strategie appropriate per la soluzione di problemi
disciplina: MATEMATICA, competenza: Analizzare dati e interpretarli sviluppando deduzioni e ragionamenti sugli stessi anche con l’ausilio di rappresentazioni grafiche, usando consapevolmente gli strumenti di calcolo e le potenzialità offerte da applicazioni specifiche di tipo informatico.
","Corso di approfondimento per la lettura di grafici fisico-matematici, la loro creazione e il loro utilizzo come supporto per la risoluzione di esercizi e problemi."
057,Sportello di lettura e interpretazione grafica,Silvia Kuna Ballero,UDA - Moduli Curricolari Pomeridiani,MATEMATICA,PENTAMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ",,"Seconde
Terze
Quarte
Quinte",Tutti,18,,"disciplina: MATEMATICA, competenza: Utilizzare le tecniche e le procedure del calcolo aritmetico ed algebrico, rappresentandole anche sotto forma grafica
disciplina: MATEMATICA, competenza: Confrontare ed analizzare figure geometriche, individuando invarianti e relazioni.
disciplina: MATEMATICA, competenza: Individuare le strategie appropriate per la soluzione di problemi
disciplina: MATEMATICA, competenza: Analizzare dati e interpretarli sviluppando deduzioni e ragionamenti sugli stessi anche con l’ausilio di rappresentazioni grafiche, usando consapevolmente gli strumenti di calcolo e le potenzialità offerte da applicazioni specifiche di tipo informatico.
","Corso di approfondimento per la lettura di grafici fisico-matematici, la loro creazione e il loro utilizzo come supporto per la risoluzione di esercizi e problemi."
058,Preparazione ai test per l'accesso all'università,Gabriella Mauri,UDA - Moduli Curricolari Pomeridiani,"MATEMATICA
FISICA",TRIMESTRE,"MARTEDÌ
GIOVEDÌ",,"Quarte
Quinte",Tutti,20,,"disciplina: MATEMATICA, competenza: consolidare e applicare conoscenze
disciplina: FISICA, competenza: consolidare e applicare conoscenze
",
059,Preparazione ai test per l'accesso all'università,Gabriella Mauri,UDA - Moduli Curricolari Pomeridiani,"MATEMATICA
FISICA",PENTAMESTRE,"MARTEDÌ
GIOVEDÌ",,"Quarte
Quinte",Tutti,20,,"disciplina: MATEMATICA, competenza: consolidare e applicare conoscenze
disciplina: FISICA, competenza: consolidare e applicare conoscenze
",
060,Cut&Care,Livia Mariani,UDA - Moduli Curricolari Pomeridiani,MULTIMEDIALE,TRIMESTRE,MERCOLEDÌ,,Biennio,Nessuno,25,,"disciplina: MULTIMEDIALE, competenza: Gestire processi di   scrittura creativa   (individuale e di gruppo) 
disciplina: MULTIMEDIALE, competenza: Gestire nel modo   corretto i vari passaggi 
disciplina: MULTIMEDIALE, competenza: Acquisire le conoscenze dei  codici espressivi del linguaggio  audiovisivo
disciplina: MULTIMEDIALE, competenza: Valutare e utilizzare le forme  narrative di montaggio 
","Il corso Cut&Care si propone di insegnere a produrre videotutorial di nail art, dal concept alla pubblicazione!

Durante il corso verranno spiegate e messe in pratica nozioni base di:

- ripresa con videocamera/smartphone (inquadrature, luci, audio)

- montaggio con Adobe Premiere Pro (taglio, musica, grafica, esportazione).

- creazione di tutorial chiari e coinvolgenti."
061,AfterLAB - Attività di Coding e Game Design,Diego Boscarino,UDA - Moduli Curricolari Pomeridiani,MULTIMEDIALE,PENTAMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ",,Tutti,Tutti,20,Attitudini verso il coding e la creatività espressiva,"disciplina: MULTIMEDIALE, competenza: PRogettazione coding
","L'attività prevede la realizzazione di ambienti digitali che interpretano scenari fantastici e che diventano elementi concreti all'interno di un videogioco modellato dagli studenti. L'obiettivo è quello di creare un'avventura,  a carattere introspettivo, attraversando i mondi del videogame per comprendere se' stesso e sperimentare le proprie potenzialità espressive. Il protagonista diventa il nemico così da poter sperimentare un particolare gioco di ruoli."
062,Sogno e memoria: un breve viaggio nel cinema contemporaneo,Domenico Ricucci,UDA - Moduli Curricolari Pomeridiani,MULTIMEDIALE,TRIMESTRE,MERCOLEDÌ,,Triennio,Multimediale,25,"Visione obbligatoria dei film descritti prima di ogni lezione pomeridiana, forte passione e interesse per il cinema.","disciplina: MULTIMEDIALE, competenza: Sviluppo di un senso critico per l’analisi e la lettura delle immagini audiovisive.
","Il tema del corso riguarda la dimensione onirica e quella della memoria declinate nei seguenti film:

1) ""La storia della Principessa Splendente"" (2013) - Isao Takahata

2) ""La grande bellezza"" (2013) - Paolo Sorrentino

3) ""Mulholland Drive"" (2001) - David Lynch

4) ""Arrival"" (2016) - Denis Villeneuve

Il corso prevede la visione individuale a casa delle opere cinematografiche (verrà fornito un archivio drive per la visione dei film), e l'analisi/discussione in classe dei film."
063,Sogno e memoria: un breve viaggio nel cinema contemporaneo,Domenico Ricucci,UDA - Moduli Curricolari Pomeridiani,MULTIMEDIALE,PENTAMESTRE,MERCOLEDÌ,,Triennio,Multimediale,25,"Visione obbligatoria dei film descritti prima di ogni lezione pomeridiana, forte passione e interesse per il cinema.","disciplina: MULTIMEDIALE, competenza: Sviluppo di un senso critico per l’analisi e la lettura delle immagini audiovisive.
","Il tema del corso riguarda la dimensione onirica e quella della memoria declinate nei seguenti film:

1) ""La storia della Principessa Splendente"" (2013) - Isao Takahata

2) ""La grande bellezza"" (2013) - Paolo Sorrentino

3) ""Mulholland Drive"" (2001) - David Lynch

4) ""Arrival"" (2016) - Denis Villeneuve

Il corso prevede la visione individuale a casa delle opere cinematografiche (verrà fornito un archivio drive per la visione dei film), e l'analisi/discussione in classe dei film."
